postcode,longitude,latitude
RG7 1PQ,-0.972787,51.383936
WS5 4LS,-1.970304,52.565264
G41 1HJ,-4.277758,55.852311
NE1 7RA,-1.616866,54.975568
NR27 9JR,1.284708,52.927664
SW2 4RN,-0.125671,51.440829
LE67 5PE,-1.34752,52.730988
SW19 2RR,-0.185354,51.410878
CO10 0FS,0.748768,52.022899
BT42 1AA,-6.286905,54.86294
B16 8WN,-1.913926,52.475963
NR3 2AH,1.277345,52.643108
RG40 4RF,-0.893717,51.376076
RM8 1AH,0.146868,51.56227
W1D 1LP,-0.135479,51.516181
SG2 9QA,-0.158288,51.898001
PO15 7AG,-1.241739,50.876153
KT16 0DN,-0.559115,51.379561
DA14 4DT,0.103346,51.427285
SG2 8PT,-0.174071,51.885145
BN21 4RU,0.281166,50.767701
PO8 0BT,-0.999347,50.918455
L3 1BP,-2.993585,53.403606
SN14 6LH,-2.144865,51.46427
DY9 0JT,-2.143823,52.416297
BH21 1QE,-1.98434,50.797428
CR7 6JB,-0.114103,51.394403
WA3 3GT,-2.592937,53.47034
BN1 5NP,-0.153924,50.841831
WA14 2UN,-2.349039,53.378531
SW8 1EF,-0.122523,51.480031
PO1 5BX,-1.076602,50.797329
HP8 4NN,-0.565806,51.633034
LE19 4SA,-1.213464,52.594958
WD4 8FR,-0.444801,51.717859
GL1 3EJ,-2.239485,51.868017
EX36 3LE,-3.807014,51.07737
LS27 9ER,-1.599837,53.741842
B61 8DN,-2.062586,52.335407
SE3 0DQ,0.011138,51.466583
CM13 1AB,0.333201,51.631703
SS9 3SF,0.636592,51.551799
W1T 4TQ,-0.135709,51.521565
BN26 6QH,0.270878,50.818825
TN30 6TU,0.673747,51.063504
E15 4HF,0.009752,51.542507
SK7 2BY,-2.167194,53.359384
NW1 2EW,-0.136383,51.526501
W1W 7LT,-0.142405,51.518467
E1 6PX,-0.072581,51.518546
IP28 7DE,0.500747,52.353408
SW13 9LH,-0.249616,51.474381
CM3 5LW,0.612588,51.639339
CW1 3PA,-2.468755,53.101558
NW3 3QX,-0.165215,51.541946
GU1 3SA,-0.567033,51.236913
CM21 9AE,0.151021,51.812214
DE4 4DR,-1.573401,53.081675
SE8 4AN,-0.026748,51.476184
SW16 6NR,-0.141218,51.424782
SW16 4XD,-0.119001,51.402117
SW1P 3AZ,-0.129351,51.497937
EC2A 4BA,-0.084174,51.52602
EN8 0RY,-0.029764,51.710193
PE6 7JL,-0.293978,52.640693
MK18 4BP,-0.982939,51.978668
CB4 0PP,0.1516,52.231808
BH19 1AU,-1.974168,50.612645
N4 1BG,-0.10293,51.579731
BD1 9YA,,
RG29 1HE,-0.953225,51.264617
SY5 0QB,-2.883103,52.649688
TW4 6DR,-0.400833,51.464482
SS9 2HL,0.650456,51.542871
GL2 7HG,-2.364652,51.774744
SK8 1JH,-2.221864,53.383824
SE19 3RY,-0.082315,51.418851
G1 1XP,-4.242412,55.861103
E11 4EA,0.002884,51.565088
BN27 1DW,0.257675,50.864159
TW7 6GW,-0.335156,51.471823
HD5 9BX,-1.761215,53.64555
FY3 8LT,-3.027987,53.819257
LE7 2HB,-1.076028,52.697101
BS23 1JP,-2.981195,51.350299
LS18 5BP,-1.639408,53.838942
LS14 1FB,-1.459627,53.828981
GL52 7DQ,-2.080418,51.947606
EC1V 9EE,-0.08735,51.526926
EH12 9DQ,-3.310638,55.934135
HU17 7AD,-0.437801,53.847554
WC2N 6JU,-0.122941,51.508769
E5 0NS,-0.052781,51.550889
SE4 2RS,-0.035899,51.4639
FY5 5HT,-3.000748,53.870101
BN43 6PA,-0.27066,50.833945
E4 6RP,-0.008973,51.623883
RH19 3EL,0.003574,51.139018
BS9 4NE,-2.609067,51.487367
RM17 5NL,0.336085,51.485181
BH7 7DU,-1.819193,50.745861
SW15 2SH,-0.215825,51.460725
BN1 9SB,-0.082761,50.864354
B60 4DJ,-2.075411,52.299844
GL51 6TQ,-2.156304,51.898952
CF14 0XQ,-3.179534,51.534693
SL6 0BF,-0.698011,51.527742
GU3 1AF,-0.584277,51.205511
SW18 4LT,-0.190722,51.446825
E16 2XF,0.026341,51.501034
LU7 0AP,-0.657731,51.947394
N16 7HD,-0.071413,51.563579
MK5 8FR,-0.773747,52.026821
MK42 8AT,-0.492256,52.121293
BL1 4BY,-2.447451,53.581557
E15 2HB,-0.022452,51.548459
E11 3NA,0.011252,51.558524
SW13 9LP,-0.251251,51.473425
RH14 9JA,-0.472493,51.019749
SE10 9GQ,0.009383,51.485355
W1W 6HL,-0.141825,51.519267
E17 8ND,-0.026756,51.572953
N11 3DT,-0.152647,51.613745
L3 1HU,-2.995882,53.405979
HP9 2XF,-0.610494,51.616358
W1T 3BL,,
HA1 2DS,-0.331986,51.578977
